,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities
3275,H001622,Hotel Saideep Executive,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel.,"Nagar -manmad road, opp.renvikar mangal karyalay, savedi, Ahmednagar,",['Premdan Chowk'],Ahmadnagar,Maharashtra,India,19.1150328096,74.7296387516,Hotel,2,"['Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Major Credit Cards Accepted', 'Power Backup', 'Newspapers In Lobby', 'Parking Facility', 'Room Service']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Telephone', 'Shower Facility Available', 'Newspapers', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Toiletries', 'Makeup / Shaving Mirror', 'Primium Bathrooms', 'Premium Amenities / Toiletries', 'Coffee Table', 'Wardrobe', 'HD / LCD Satellite TV ', 'Pillow menu', 'Soundproof Windows', 'TV', 'Bathrobes', 'Channel Music', 'Mirror', 'Custom Duvets / Linen', 'Work Station', 'Dressing Area', 'Luggage Rack', 'Attached Bathroom', 'Bedside Table', 'Daily Room Cleaning', 'Dustbins', 'Rooms with Attached Bathrooms']"
3276,H001623,Hotel Sai Tulsi,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 24 HOURS.,"Opp Temple Gate no 2, Near SBH Bank, Pimpalwadi Road,  Shirdi.","['Shirdi Bus Depot', 'Shirdi Sai Sansthan', 'Dixit Wada Museum', 'Gurusthan', 'Khandoba Temple', 'Chavadi', 'Police station', 'Samadhi Mandir', 'Water Park', 'Pimpalwadi Road']",Shirdi,Maharashtra,India,19.7691937,74.4760687,Hotel,2,"['Parking Facilities Available', 'Front Desk', '24 Hour Front Desk', 'Power Backup', 'Car Rental', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Parking Facility', 'Public Restrooms']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', ' Hot / Cold Running Water', 'TV']"
3277,H001624,Hotel Royal Castle,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"B-364, Chittaranjan Park","['South Delhi', 'Masjid Moth', 'IIBMS', 'Lotus Temple', 'Pushpawati Singhania Research Institute', 'ISKCON Temple', 'Greater Kailash Area', 'Fortis Escorts Heart Institute &amp; Research Centre', 'Fortis La Femme', 'Fortis Escorts Heart Institute & Research Centre']",Delhi,Delhi,India,28.5426683,77.2460266,Hotel,3,"['Currency Exchange', 'Non Smoking Rooms', 'Multi Cuisine Restaurant ', '24 Hour Front Desk', 'Luggage Storage', 'Internet Access']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Attached Bathroom']"
3278,H001625,Hotel Ricasa,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly No pets allowed,"Bojoghari, 3rd mile, near tashi view point. (Mg Road 3 Kms far from Hotel RICASA)","['Helipad', 'New College Building, SMIMS', 'Raj Bhawan', 'Denzong Cinema', 'Military Hospital', 'Paljor Stadium', 'Fambong La Wildlife Sanctuary', 'Nehru Botanical Garden', 'Devlopment Area', 'Directorate of Handloom and Handicrafts (DHH)', 'Sikkim Government Law College', 'Do-Drul Chorten or Stupa', 'Banjhakri Falls', 'Diet College, Burtuk', 'ICFAI University', 'Bakthang Waterfalls', 'Others', 'Hanuman Tok', 'Tashi View Point', 'Manipal Central Referral Hospital', 'Sikkim Govt. College', 'Barad Sadan Academic Block, Sikkim University', 'Thakurbari Temple and Dharamshala']",Gangtok,Sikkim,India,27.3302684,88.6110755,Hotel,0,"['Bar / Lounge ', 'Doctor on Call', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)']","['Cable / Satellite / Pay TV available', 'Attached Bathroom']"
3279,H001626,Hotel Royal Heritage,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. Pets are not allowed. 2. Gambling is strictly prohibited.,"Near Arbud School, Aburoad (29 kms before Mount Abu.)",['Abu Road'],Mount Abu,Rajasthan,India,24.4786158918,72.7806920099,Hotel,2,"['Banquet Facilities', 'Internet Access - Surcharge', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Table Tennis', 'Major Credit Cards Accepted', 'Gardens', 'Conference Facility ', 'Discotheque ', 'Internet Access Free']","['Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Internet Connection In Room', 'Telephone', 'Breakfast Available (surcharge)', 'Newspapers', ' Hot / Cold Running Water', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Toiletries', 'Window Opens', 'Coffee Table', 'HD / LCD Satellite TV ', 'Mirror', 'Luxurious Feather Mattresses']"
3280,H001627,Hotel Ravikant,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel.,"S.No. 17/1/1, Plot No1, Padmavati corner, Pune Satara Road Near City pride,Pune-411043","['Rajeev Gandhi Zoological Park ', 'Chaitanya Hospital', 'Lokmanya Hospitals Joint Replacement Center', 'Poona Hospital &amp; Research Centre', 'Jawaharlal Nehru Stadium', 'Parvati Hill', 'Tilak Road', 'Katraj', 'Swargate ST Stand', 'Nehru Stadium', 'Poona Hospital & Research Centre']",Pune,Maharashtra,India,18.4745883,73.8560816,Hotel,3,"['Banquet Facilities', 'Bar / Lounge ', 'Business Center ', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Medical Assistance Available', 'Power Backup', 'Express Check-In / Check-Out', 'Gardens', 'Catering', 'Multi Lingual Staff', 'Wake-up Call / Service', 'Suitable For Children', 'Conference Facility ', 'Smoking Rooms', 'ATM / Banking', 'Fire Place Available ', 'Picnic Area', 'Cell Phone Rental', 'Smoking Area ', 'Veranda', 'Open Air Restaurant / Dining ', 'Transfers Available', 'Veg / Non Veg Kitchens Separate ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Car Rental', 'Express Laundry', 'Water Dispenser Available', 'Taxi Services', 'Food Facility', ' Drivers Rest Room', 'Internet Access Free', 'Newspapers In Lobby', 'Postal / Parcel Services', 'Family Room', 'Room Service (24 Hours)', 'Spa Services Nearby', 'Party hall', 'Air / Rail Booking', 'STD / ISD', 'Outdoor Parking - Secured', 'Parking Facility', 'Internet Access', 'Restaurant', 'Room Service', 'Fire Safety', 'Suites']","['Room Service ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Internet Connection In Room', 'Telephone', 'Breakfast Available (surcharge)', 'Newspapers', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Toiletries', 'Window Opens', 'Makeup / Shaving Mirror', 'Premium Amenities / Toiletries', 'Moisturiser', 'Coffee Table', 'Wardrobe', 'HD / LCD Satellite TV ', 'Private Garden', 'TV', 'Mirror', 'Work Station', 'Luggage Rack', 'Attached Bathroom']"
3284,H001628,Hotel Sheetalam,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checking. This is at full discretion of the hotel management. No refund would be applicable in case the checking is denied under such circumstances,Sheetlakhet Almora,['Sitlakhet'],Almora,Uttarakhand,India,29.5968086,79.5608425,Hotel,0,"['Doctor on Call', 'Dry Cleaning', 'Parking Facilities Available', '24 Hour Front Desk', 'Power Backup', 'Express Check-In / Check-Out', 'Gardens', 'Wake-up Call / Service', 'Suitable For Children', 'Extra Person / Child - Share the same room', 'Family Room', 'Room Service (24 Hours)', 'Parking Facility', 'Full Time Operation for All 7 Days', 'Paid Transfers']","['Room Service ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Video/ DVD/ CD Player Available', 'Ceiling Fan', 'Refrigerator', 'Shower Facility Available', 'Reading Lamps', 'Mineral Water', ' Hot / Cold Running Water', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Toiletries', 'Hill View from all Rooms', 'Rooms with Attached Bathrooms']"
3285,H001629,Hotel Sapna Clarks INN Lucknow,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 48 Hrs prior to the date  of arrival, no retention is applicable. Post which 01 night retention is applicable.","CP-3, 208, sector 11 ,Vikas Nagar, Lucknow-226022, Uttar Pradesh","['Vivekananda Polyclinic &amp; Institute of Medical Sciences', 'Uttar Pradesh Technical University', 'Badshahnagar Railway Station', 'Others', 'Vivekananda Polyclinic & Institute of Medical Sciences']",Lucknow,Uttar Pradesh,India,26.8978729,80.9656932,Hotel,3,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Bar / Lounge ', 'Business Center ', 'Doctor on Call', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Doorman', 'Express Check-In / Check-Out', 'Conference Facility ', 'Car Rental', 'Food Facility', 'Newspapers In Lobby', 'Room Service (24 Hours)']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Telephone', 'Shower Facility Available', 'Housekeeping', 'Desk in Room', 'Toiletries', 'Premium Amenities / Toiletries', 'Safe - In - Room ', ""Split A.C's"", 'TV', 'Bathrobes', 'Mirror', 'Luggage Rack']"
3286,H001630,Hotel Shaneel Residency,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly A mandatory supplement charges are applicable at the time of new year , Christmas . , and other festivals , directly payable at hotel . UN-Married couples are not allowed .  Pets are not allowed","Kohna Khun, Dalgate","['Khayam Chowk Area', 'Tourist Reception Centre', 'Government Gousia Hospital', 'G.B Pant Children Hospital Srinagar', 'Kashmir Tibbia College Hospital &amp; Research Centre', 'Sher I Kashmir Stadium', 'Shri Pratap Singh Museum', 'Modern Hospital', 'Central University of Kashmir', 'High Court of Jammu and Kashmir', 'Shankaracharya Temple', 'Jamia Masjid', 'Kashmir Golf Club', 'Dastgir Sahib', 'Jawahar Lal Nehru Memorial Hospital', 'Gandhi Memorial College', 'Department of Eye and ENT', 'Max Super Speciality Hospital', 'Nehru Park Floating Post Office', 'Hari Parbat Fort', 'General Post Office', 'Kashmir Tibbia College Hospital & Research Centre']",Srinagar,Jammu and Kashmir,India,34.0839157889,74.8248661068,Hotel,2,['Doctor on Call'],"['Cable / Satellite / Pay TV available', 'Ensuite / Private Bathroom', 'Breakfast Available (surcharge)', ' Hot / Cold Running Water', 'Desk in Room', 'Mirror', 'Luxurious Feather Mattresses', 'Dressing Area', 'Attached Bathroom']"
3287,H001631,Hotel Silver Stay,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion.,"Panchmahal , Near Moonlight Cinema, Opposite Aadhar Mall, Vavdi","['Panchmahal , Near Moonlight Cinema, Opposite Aadhar Mall, Vavdi']",Godhra,Gujarat,India,22.7788044,73.6142795,Hotel,0,"['Doctor on Call', 'Parking Facilities Available', 'Front Desk']","['Room Service ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Telephone']"
3290,H001632,Hotel Siddharth Paradise,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Bhatt Commercial Complex 2, Haridwar Road, (Near Prince Chowk)","['Clock Tower', 'Haridwar Road']",Dehradun,Uttarakhand,India,30.3152962641,78.0377466549,Hotel,2,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Bar / Lounge ', 'Business Center ', 'Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Non Smoking Hotel', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Medical Assistance Available', 'Power Backup', 'Audio - Visual Equipment', 'Wedding Services Facility', 'Conference Facility ', 'Free Local Calls', 'In House Events ', 'Car Rental', 'Taxi Services', 'Board Room', ' Drivers Rest Room', 'Internet Access Free', 'Newspapers In Lobby', 'Postal / Parcel Services', 'Family Room', 'Baggage Room', 'Courier Service', 'Internet / Fax (Reception area only)', 'RO Water Purification System']","['Air Conditioning ', 'Basic Bathroom Amenities', 'Telephone', 'Mirror']"
3291,H001633,Hotel Shivam,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory supplement on Christmas,New Years eve and other festive periods. Any such supplements need to be paid at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the time","102/A, 1st Polo Paota , Main Mandore Road,","['Umaid Bhavan Palace', 'Paota Circle', 'Mehrangarh Fort', 'Jodhpur Railway Station', 'Umaid Club', 'Jodhpur Airport', 'Jalori Gate', 'Nagauri Gate', 'Jaswant Thada']",Jodhpur,Rajasthan,India,26.306172,73.0353773,Hotel,0,"['Doctor on Call', 'Laundry Service Available', 'Multi Cuisine Restaurant ', 'Internet Access Free', 'Newspapers In Lobby']",['Room Service']
3299,H001634,Hotel Savshanti Towers,The standard check-in time is 11:00 AM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Opp. Circuit house, R.C.Dutt Road, Alkapuri, Baroda - 390 007","['Railway Station', 'Domestic Airport', 'Sayaji Garden', 'Ahmedabad', 'Race Course', 'M.S. University', 'O.N.G.C', 'Halol', 'G.I.D.C.', 'Gandhinagar', 'Ankleshware GIDC', 'Alkapuri', 'Vadodara Railway Station', 'Sri Aurobindo Niwas', 'Vadodara Airport', 'Sayaji Baug', 'MS University of Baroda']",Vadodara,Gujarat,India,22.3139759,73.1747877,Hotel,2,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Business Center ', 'Doctor on Call', 'Dry Cleaning', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', '24 Hour Front Desk', 'Doorman', 'Express Check-In / Check-Out', 'Conference Facility ', 'Car Rental', 'Express Laundry', 'Food Facility', 'Newspapers In Lobby', 'Room Service (24 Hours)']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Internet Connection In Room', 'Telephone', 'Shower Facility Available', 'Newspapers', 'Toiletries', 'Safe - In - Room ', 'TV', 'Mirror']"
3300,H001635,Hotel Shiv Tej Residency,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unrelated/unmarried couple  check in will not able allowed. Check In Check Out 12 Noon foreign guest should have valid travel documents. Pancard is not accepted as valid proof . The guest should carry proof which contains Photo and address.,"Navyug Padampura , Aurangabad","['Aurangabad Caves', 'Pitalkhora Caves', 'Mumbai-Nashik Highway', 'Panchakki (Water Mill)', 'Aurangabad Airport', 'Aurangabad Railway Station']",Aurangabad,Maharashtra,India,19.8683914486,75.3177862347,Hotel,2,"['Airport Transfer Available / Surcharge', 'Business Center ', 'Doctor on Call', 'Laundry Service Available', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Medical Assistance Available', 'Welcome Drinks', 'Power Backup', 'Wake-up Call / Service', 'Smoking Rooms', 'Kitchen available (home cook food on request)', 'Free Local Calls', 'Smoking Area ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Village Visit ( Chargeable )', 'Car Rental', 'Taxi Services', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Family Room', 'Room Service (24 Hours)', 'Baggage Room', 'Outdoor Parking - Secured', 'Parking Facility', 'Internet Access', 'Room Service', 'Fire Safety']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Crockery / Cutlery', 'Heating Facility (on request) ', 'Internet Connection In Room', 'Telephone', 'Shower Facility Available', 'Newspapers', 'Mineral Water', 'Shoe Shine', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Toiletries', 'Window Opens', 'Makeup / Shaving Mirror', 'Premium Amenities / Toiletries', 'Moisturiser', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'TV', 'Channel Music', 'Mirror', 'Luxurious Feather Mattresses', 'Custom Duvets / Linen', 'Stationery Kit', 'Dressing Area', 'Attached Bathroom', 'Bedside Table', 'Clothes Hook in Bathroom', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Do-Not-Disturb Notice', 'Room Door Fitted with Lock and Key', 'Room with Window/Ventilation', 'Rooms with Attached Bathrooms', 'Sanitary Bin', 'Sufficient Lighting', 'Western Toilet Seat']"
3304,H001636,Hotel Satkar,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Local Residents will not be allowed  Unmarried couple will not be allowed,"Satkar Building, Unapani Road, Near Delhi Gate, Opp. Station Road, Surat - 395003","['Sardar Patel Museum', 'Surat Railway Station', 'Railway Station Area', 'Surat Castle']",Surat,Gujarat,India,21.2048936,72.8408395,Hotel,2,"['Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', '24 Hour Front Desk', 'Power Backup', 'Internet Access Free', 'Room Service (24 Hours)', 'Parking Facility', 'Internet Access', 'Room Service']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Breakfast Available (surcharge)', 'Newspapers', 'Housekeeping', 'Desk in Room', 'Toiletries', 'HD / LCD Satellite TV ', ""Split A.C's"", 'Luggage Rack']"
3305,H001637,Hotel Shanti,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Room service is available from 7 to 11 pm Check-in Time: 12:00 pm  ,  Check-out Time: 12:00 pm","Opposite Shivsagar lake, main Temple Road","['Bus Stand Khajuraho', 'Adinath Temple', 'Khajuraho Airport', 'Temple Road']",Khajuraho,Madhya Pradesh,India,24.8508755,79.9232342,Hotel,0,"['Disabled Friendly Facilities ', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Doorman', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Power Backup', 'Wake-up Call / Service', 'Internet Access Free', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Guide / Sightseeing Service']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Internet Connection In Room', 'Telephone', 'Shower Facility Available', 'Newspapers', ' Hot / Cold Running Water', 'Housekeeping', 'Slippers', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', ""Split A.C's"", 'TV', 'Mirror', 'Luggage Rack', 'Attached Bathroom', 'Clothes Hook in Bathroom', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Dustbins', 'Rooms with Attached Bathrooms', 'Western Toilet Seat']"
3306,H001638,Hotel Sharnam,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,"Mehta Studio, 24 - Gole Bazar, Ganganagar, Near Gandhi Chowk","['Gauri Shankar Temple', 'Sri Ganganagar', 'Gurudwara Sri Budda Johar Shahab', 'Balaji Dham']",Sri Ganganagar,Rajasthan,India,29.9166667,73.8833333,Hotel,0,"['Doctor on Call', 'Lobby', 'Front Desk', 'RO Water Purification System', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Ceiling Fan', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Toiletries', 'TV', 'Attached Bathroom']"
3307,H001639,Hotel silver Palace,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Plot No. 8, Station Road,","['Mahatma Gandhi Garden', 'Parola Fort', 'Station Road', 'Padmalaya - Shree Ganapati Peeth']",Jalgaon,Maharashtra,India,21.0167633,75.5635054,Hotel,0,"['Banquet Facilities', 'Bar / Lounge ', 'Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', '24 Hour Front Desk', 'Power Backup', 'Veg / Non Veg Kitchens Separate ', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Taxi Services', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Baggage Room', 'Parking Facility', 'Restaurant', 'Room Service', 'CCTV']","['Room Service ', 'Air Conditioning']"
3310,H001640,Hotel Shubham Vilas,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Complementary Breakfast Fruit Basket Platter of Cookies Tea Coffee Maker Wi-Fi Complementary Daily local Newspaper comlementary UNMARRIED COUPLES ARE NOT ALLOWED,"A-42, Vishal Enclave Opp TDI Mall, Rajouri Garden ,New Delhi","['Gaffar Market', 'BLK Super Speciality Hospital', 'Barakhambha Road Metro Station', 'PVR Naraina', 'Sri Balaji Action Medical Institute', 'Rajouri Garden', 'Deen Dayal Upadhyay Hospital', 'Karnail Singh Stadium', 'Acharya Shree Bhikshu Hospital', 'NIRANKARI SATSANG BHAWAN', 'Shivaji Stadium', 'Parliament House', 'Delhi Heart and Lung Institute', 'Talkatora Indoor Stadium', 'Janpath Market', 'YMCA Institute', 'Gurudwara Bangla Sahib', 'West Delhi', 'Movietime multiplex', 'Metro Rajiv Chowk', 'Paranthe Wali Gali', 'Action Cancer Hospital', 'Rashtrapati Bhawan', 'Jantar Mantar', 'New Delhi Railway Station', 'Sarai Rohilla Station', 'Guru Gobind Singh Government Hospital', 'Talkatora Stadium', 'Gangaram Hospital', 'Connaught Place', 'Dr. Ram Manohar Lohia Hospital', 'C.S.I.R. - Council Of Scientific and Industrial Research', 'Karol Bagh Metro Station', 'Palika Bazaar', 'Ajmeri Gate', 'Shivaji Hockey Stadium', 'Hanuman Temple', 'Mughal Garden']",Delhi,Delhi,India,28.65069199,77.11999512,Hotel,3,"['Banquet Facilities', 'Beauty Salon - on charge', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Air-Conditioning - Central', 'Power Backup', 'ATM / Banking', 'Fax Machine', 'Smoking Area ', 'Car Rental', 'Express Laundry', 'Taxi Services', 'Internet Access Free', 'Newspapers In Lobby', 'Family Room', 'Room Service (24 Hours)', 'STD / ISD', 'Baggage Room', 'RO Water Purification System', 'Outdoor Parking - Secured', 'Parking Facility', 'Room Service']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Video/ DVD/ CD Player Available', 'Ceiling Fan', 'Iron / Ironing board available', 'Telephone', 'Newspapers', 'Mineral Water', 'Shoe Shine', ' Hot / Cold Running Water', 'Breakfast Available', 'Toiletries', 'Makeup / Shaving Mirror', 'Coffee Table', 'HD / LCD Satellite TV ', 'Centrally Heated', 'Mirror', 'Attached Bathroom']"
